channel_created_at,channel_followers,channel_game,channel_lan,channel_mature,channel_partner,channel_views,channel_description,stream_viewers
2018-01-27 20:51:35.469934,245064,Call of Duty: Warzone,en,False,True,2578763,"I'm 21 from North Carolina whose dream career is to stream and entertain for a funny/interactive audience that I can call my family. I solely stream Call of Duty as of now, but in my future career of streaming I'd love to play whatever makes you guys happy and become a better streamer.",8568
2015-03-04 00:39:41.667864,232552,Grand Theft Auto V,en,True,True,10643369,:),8477
2017-01-03 21:35:27.995583,246027,Apex Legends,en,False,True,6537736,Best vibes in @PlayApex and potentially Twitch. Competitive player for @NRGgg,8463
2014-03-03 02:15:59.715118,470287,Grand Theft Auto V,en,False,True,13394853,oi eu sou o mount,8420
2013-05-29 17:47:04.718415,1418033,League of Legends: Wild Rift,en,False,True,82014787,Streamer de variedades: Todo dia on as 13:00,8084
2013-04-03 14:16:28.248890,581262,Golf With Your Friends,en,False,True,6334327,Hello :),8042
2019-09-15 23:02:50.355605,603370,Just Chatting,es,False,True,7345372,Si hay pal oky ,7967
2016-08-15 01:10:43.434790,2610328,NieR Replicant Ver.1.22474487139...,en,False,True,33554385,I make things,7775
2020-04-24 01:31:01.640926,57696,Gartic Phone,es,False,False,59201,mis encias son un 96% mas grandes que las del resto de la gente,7755
2016-10-18 13:22:19.560357,1238643,Grand Theft Auto V,fr,False,True,42243245,,7710
2014-05-24 20:27:53.607569,690102,Minecraft,en,False,True,3426709,just a girl playing minecraft ♡ ,7596
2015-07-11 19:34:01.940835,265017,Grand Theft Auto V,en,False,True,17162265,,7498
2009-12-16 19:23:10.483387,334081,Project Winter,en,False,True,6636341,"Hey Internet! Sit back, Relax, and get ready for some Shenanigans! Next Stream - AMONG US TOURNAMENT 3pm CST Tuesday",7269
2015-02-06 03:45:03.689068,783835,Friday the 13th: The Game,en,False,True,4497623,Welcome To Room 6 . Only once I’m gone will you understand why my energy attracted so many. 👁🪐 18/3 ~ SYX,7194
2012-11-15 05:08:58.886673,279285,Call of Duty: Warzone,pt-br,True,True,4820223,"Loucura, amor e paixão. Tudo aqui é de maneira diferenciada. Chega nois e vem ser feliz comigo e com o mozinho. Nosso foco é o entretenimento, zueira e high level gameplay.",7091
2012-06-29 09:35:41.234971,349060,The Binding of Isaac: Repentance,en,True,True,35409553,"Hello and welcome to the channel. We pride ourselves on having a positive community and high chat interaction. Playing everything from Isaac to Hello Kitty Island Barbie adventure....., you'll find plenty of chat interaction and interesting games worth checking out!",6946
2021-03-09 22:41:41.554618,158140,Just Chatting,pt-br,False,True,250396,"Eae seus mitoh, eu sou o Jordan vulgo JJ taaaligado 😎 jogador profissional de Free fire pela Noise e influencer da Loud. Faço lives diarias aqui principalmente de Free fire porém curto jogar de tudo :D",6859
2019-01-23 23:12:23.861216,360934,Call of Duty: Warzone,en,True,True,7151918,A man who loves video games.,6510
2012-02-06 21:16:52.455797,1507853,League of Legends,en,True,True,155338475,"One of the first League of Legends streamer, plays mostly Udyr, Volibear, and Nasus. Occasionally stream  other games like Apex Legends, PUBG, TFT, Valorant :) Follow and turn on notifications :)",6404
2013-01-26 19:31:36.254313,214398,Call of Duty: Warzone,pt-br,False,True,5655095,"Seja muito bem vindo ao canal de streams do Stolen El Monxtro, também conhecido como Rei do Gado nas interwebs. A única coisa que eu quero que vc consiga é se divertir na minha stream, então fique a vontade =)",6394
2015-04-04 09:22:53.048251,11683,League of Legends,es,False,True,1259963,"Directos todos los dias 4PM hora mexico (menos los jueves), juego un poco de todo youtube.com/c/RogazSenpai.",6328
2018-09-19 22:34:03.845154,395428,Apex Legends,en,False,True,9993265,My name is Dalton and I'm 25 years old. I went to Florida State University and graduated with a degree in nothing because I dropped out to pursue a full time streaming career. Video games and entertaining others is my passion. I love what I do and I hope you enjoy my content. Nice ,6230
2011-12-30 11:17:31.037413,830351,Dofus,fr,False,True,60772600,French Independant Streamer from Corbeil-Essonnes. Contact @KametoTV on Twitter or per email :  kametocorp@gmail.com,6189
2012-02-27 09:07:59.352949,287824,Grand Theft Auto V,en,True,True,7920510,"I'm an Australian GTA 5 Roleplay streamer, I play Irwin Dundee, Officer Crocodile Steve and other characters on the popular server NoPixel.net.",6120
2013-02-26 03:26:14.737983,155345,Dota 2,en,False,True,11424993,suh xd,5986
2015-02-11 13:03:50.127243,408761,Metin2,en,True,True,17286631,Merhaba ben Uğur,5896
2017-06-10 20:02:22.777754,79302,League of Legends,es,False,True,2356631,,5846
2020-06-15 23:51:22.650114,58830,VALORANT,en,False,True,5176287,VALORANT（ヴァロラント）公式チャンネル。『VALORANT』は、5対5で対戦する競技性の高いタクティカルシューターです。基本プレイ無料、世界中のより多くのプレイヤーが楽しめるよう幅広いスペックのPCに対応しています。,5753
2014-07-15 04:40:51.397289,527599,Just Chatting,ko,False,True,57451511,제발 한국사람이라면 침투부 봅시다,5745
2014-12-20 15:10:37.485132,269940,Counter-Strike: Global Offensive,pt-br,True,True,7558393,Faço lives de cs!! A partir de outubro de 2020 fiquei conhecido como liminha rei delas por animar a fan cam da Blast! A tribo do gaules é god,5722
2019-02-08 23:30:24.682318,312550,Just Chatting,en,False,True,5714640,Business Inquiries: exlikesbusiness@gmail.com,5668
2018-06-18 18:30:38.298408,402466,Fortnite,en,False,True,3385218,The World’s Oldest Fortnite Pro!  ► Use Code: ACTINGLIKETOMMY #EpicPartner ,5557
2013-07-12 06:42:39.749228,354710,League of Legends: Wild Rift,en,False,True,13538239,"LoL player aposentado, jogando jogos variados todos os dias as 14h ",5517
2017-09-29 01:01:46.715145,565941,Just Chatting,en,True,True,4130738,"Your sweet, wholesome and weird Demon Queen of the Underworld...S... I came to the internet and the human world in order to live, have fun and absorb soul energy through my streams in order to keep me alive. I am a variety vtuber/vstreamer that loves to sing, play games, and draw for fun. ",5343
2018-03-29 00:12:52.024930,277468,Call of Duty: Warzone,en,False,True,6176558,Warzone Player and Content Creator for NRG Esports // For Business Inquiries: JoeWo@adergaming.com ,5299
2012-03-18 04:17:27.030530,305423,Call of Duty: Warzone,pt-br,True,True,8300024,"Youtuber desde 2011 e Streamer desde 2015. Possuo um foco grande em COD mas costumo jogar de tudo nas lives, com bastante interação, bom humor e alguns rages. Lives diárias(menos segunda) sempre por volta das 21h. | Contato comercial: agenciamento@hayashii.com",5286
2018-01-06 20:20:25.808823,990906,Just Chatting,es,True,True,9615711,"Todo me vale verga, menos los videojuegos ",5285
2017-03-04 11:57:19.967981,203686,Just Chatting,ko,False,True,13629336,방송시간 : 오전 10시 ~ 오후6시,5045
2016-05-16 17:49:41.930113,312415,League of Legends,en,False,True,20282854,"For more information, schedules and stats head to watch.lolesports.com",4962
2014-05-05 21:28:16.209095,236120,League of Legends,tr,False,True,12191067,,4950
2011-03-09 11:14:12.739166,615401,FIFA 21,en,False,True,13541676,Welcome to Booyah Nation. Where we do it like Nike on FIFA every day. If you're a boss follow me on Twitch.Tv and if you're a legend go subscribe to the Youtube. Thanks for Watching booyah.,4856
2017-03-18 20:12:37.651025,69639,Call of Duty: Warzone,pt-br,False,True,951039,"Meu nome é Gabriel tenho 21 anos, mais conhecido por “Gepege” sou streamer tem 8 meses, atualmente com um foco no Warzone (Jogo que mais jogo no momento) mas sempre buscando expandir. ",4840
2012-06-19 22:03:04.504875,930008,NieR Replicant Ver.1.22474487139...,es-mx,False,True,52156793,Este es mi canal de Stream ven disfrutar muchos juegos en vivo pero sobre todo a echar desmadre con la Razita!!,4836
2012-12-13 05:59:56.969337,365943,VALORANT,en,False,True,10550807,Professional CS:GO & Valorant player,4803
2015-10-06 20:17:09.427958,539860,Just Chatting,ko,True,True,127570661,,4593
2012-07-16 00:36:04.028357,643952,Call of Duty: Warzone,pt-br,False,True,20827154,Mira ta CAVALA!,4578
2016-06-23 05:59:42.607938,881423,PLAYERUNKNOWN'S BATTLEGROUNDS,en,False,True,75771421,PLAYERUNKNOWN'S BATTLEGROUNDS,4478
2013-09-02 22:16:47.614412,77430,Grand Theft Auto V,tr,True,True,1893131,,4330
2017-01-04 17:37:50.856903,524218,Just Chatting,tr,False,True,11082287,"Selam, ben Adal! ",4279
2013-08-14 18:35:15.889715,380744,Just Chatting,es,False,True,3046650,Sigue mis locos vídeos en: https://www.youtube.com/user/MaauGuerrero,4274
2012-01-25 00:45:56.641247,288435,Just Chatting,en,False,True,4629335,(ﾉ◕ヮ◕)ﾉ*:･ﾟ✧ ,4272
2011-10-05 02:18:38.501736,222922,Chess,en,False,True,37695512,Pushing the boundaries of chess entertainment...,4269
2017-11-02 10:52:54.342273,143781,Grand Theft Auto V,en,True,True,3056494,My Names Bryce Hutchinson I Play Professional Baseball for the New York Mets!,4245
2016-12-24 06:03:11.638267,130605,VALORANT,en,False,True,1722704,"Fragger extraordinaire, welcome to my humble abode. ",4242
2012-06-20 21:05:55.887908,608191,SMITE,en,False,True,185951301,"God-like action, all the time. This is the official channel for all things SMITE and SMITE esports! Welcome to the Battleground of the Gods. ",4166
2012-06-23 02:19:17.421396,372349,Chivalry 2,en,True,True,24482451,Full-time variety streamer. Video games are my passion.,4111
2013-12-03 20:37:21.691640,622916,Call of Duty: Warzone,pt-br,False,True,33614161,"Pai do Napolitano, SilvioSantosDoCS, Crebin, Donizete dentre outros personagens icônicos, sempre trazendo boas risadas pras lives. Seja bem vindo &lt;3",4036
2020-04-24 03:50:58.367488,287143,Just Chatting,pt-br,False,True,1194271,"Visão tropa, meu nome é Lucca Lopes, mais conhecido como Trem Bala! e faço live de diversos jogos diariamente aqui na twitch, à partir das 20h! Já segue e ativa as notificações ;)",4022
2008-08-18 23:27:19.087699,354390,Destiny 2,en,False,True,24301076,"Just give me a sniper, and we will all be fine.",3960
2012-06-19 01:08:03.963819,211336,Sea of Thieves,en,False,True,7856223,"Get Crushed, collect salt",3770
2020-03-14 23:22:54.403789,62162,Music,en,False,True,43687189,"Welcome to AbracadabraTV 🔮✨ Broadcasting LIVE every Thursday - Sunday 🍄 Join The Tribe: www.abracadabra.life :) ☎️ Text us! +1 (310) 347-4879 , THIS WK: ABRA EARTH FEST RSVP HERE: www.abrafest.com enter to WIN a MysteryBox worth $1000 http://bit.ly/AbracadabraDonations 4 BYEBYEPLASTIC",3710
2011-10-16 15:55:31.776483,208599,Just Chatting,es,True,True,5695289,,3682
2015-12-09 12:37:42.725274,158515,League of Legends,es-mx,True,True,6039036,"Hola! me llamo Sofi, soy Chilena y tengo 19 años, llevo 8 años jugando al LoL y puteo mucho :) 💙",3673
2018-02-25 22:30:09.763459,519658,Fortnite,en,True,True,7919742,señor concha,3644
